респондент,версия дерева,задача,время,кол-во кликов,финальная глубина,прямой путь,правильность,как часто пользуется этой функций,текст задачи,выбранный элемент,момент завершения
846674421,1,21,"21,688",4,3,1,1,Периодически пользуюсь,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-14 17:11:23.869
930633306,1,21,"8,058",4,3,1,1,Пользовался буквально 1-2 раза,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-15 15:58:55.458
1080079284,1,21,"11,285",4,3,1,1,Постоянно пользуюсь,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-14 10:06:40.156
157434503,3,21,"10,177",4,3,1,1,Постоянно пользуюсь,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-14 17:57:02.336
275134790,3,21,"15,083",4,3,1,1,Периодически пользуюсь,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-15 12:16:30.350
668854661,3,21,"119,484",10,3,0,1,NULL,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-14 20:08:48.063
1701240371,3,21,"34,192",4,3,1,1,Постоянно пользуюсь,Вы опубликовали статью и хотите внести в ИСУ информацию о ней. Где бы вы это сделали?,Публикации,2022-09-14 15:51:42.408
80518563,1,22,"15,266",4,3,1,1,Периодически пользуюсь,Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,РИД,2022-09-14 16:53:47.668
1011326352,1,22,"22,338",5,2,0,0,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,Научные направления и интересы,2022-09-14 16:25:12.222
1215873495,1,22,"92,376",8,3,0,1,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,РИД,2022-09-14 17:02:30.675
1234629939,1,22,"11,729",8,3,0,1,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,РИД,2022-09-15 10:38:46.906
267766381,2,22,"78,78",8,3,0,0,"Не пользовался, потому что не знал, где её найти",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,Экспертиза материалов для опубликования,2022-09-14 09:44:19.016
1539754528,2,22,"50,775",8,3,0,0,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,Проекты,2022-09-15 12:26:27.613
532295597,3,22,"106,796",8,3,0,1,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,Результаты интеллектуальной деятельности,2022-09-13 12:39:04.419
1657320995,3,22,"18,429",4,3,1,1,"Нет, никогда не было необходимости",Вы оформили права на свой результат интеллектуальной деятельности (РИД). Где бы вы внесли информацию об этом в ИСУ?,Результаты интеллектуальной деятельности,2022-09-13 13:06:48.937
714077412,1,23,"69,209",7,2,0,0,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Коммуникационные площадки,2022-09-14 16:50:09.300
1215873495,1,23,"19,336",3,2,1,0,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Перейти в профиль,2022-09-14 17:02:53.217
752610895,2,23,"13,254",4,3,1,1,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Награды,2022-09-14 17:16:21.266
848901586,2,23,"18,74",4,3,1,1,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Награды,2022-09-14 09:53:07.756
273358319,3,23,"302,831",4,3,1,1,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Награды,2022-09-15 18:42:08.719
433274645,3,23,"12,774",4,3,1,0,"Нет, никогда не было необходимости",Вы получили звание «Лучший работник высшего образования». В каком разделе похвастаетесь достижением?,Общественные достижения,2022-09-14 16:30:47.946
20734323,1,24,"49,292",8,3,0,0,"Нет, никогда не было необходимости",Где вы можете найти и внести информацию о своих общественных достижениях?,Профиль,2022-09-15 11:59:19.735
80518563,1,24,"22,539",5,4,1,1,"Нет, никогда не было необходимости",Где вы можете найти и внести информацию о своих общественных достижениях?,Общественные достижения,2022-09-14 16:52:49.059
346105239,1,24,"27,798",5,4,1,1,Периодически пользуюсь,Где вы можете найти и внести информацию о своих общественных достижениях?,Общественные достижения,2022-09-15 13:41:35.382
1534393635,1,24,"33,518",5,4,1,1,Пользовался буквально 1-2 раза,Где вы можете найти и внести информацию о своих общественных достижениях?,Общественные достижения,2022-09-14 17:07:39.932
267766381,2,24,"11,897",4,3,1,1,Постоянно пользуюсь,Где вы можете найти и внести информацию о своих общественных достижениях?,Общественные достижения,2022-09-14 09:42:57.703
1263736885,2,24,"21,588",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете найти и внести информацию о своих общественных достижениях?,Общественные достижения,2022-09-14 18:58:01.341
1328800148,3,24,"50,379",17,2,0,0,"Не пользовался, потому что не знал, что она есть",Где вы можете найти и внести информацию о своих общественных достижениях?,ITMO.EXPERT,2022-09-14 13:33:05.159
446341758,1,25,"30,213",6,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Отчеты,2022-09-14 09:39:24.576
99825016,2,25,"11,969",4,3,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-14 16:00:44.443
155690944,2,25,"47,823",8,3,0,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-14 16:37:10.231
235611760,2,25,"22,841",4,3,1,0,Пользовался буквально 1-2 раза,В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-14 22:05:27.309
514305190,2,25,"47,749",8,3,0,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-15 08:42:43.179
1082243389,2,25,"16,518",4,3,1,0,Пользовался буквально 1-2 раза,В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-14 22:12:24.553
1488306643,2,25,"13,366",4,3,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Результаты интеллектуальной деятельности,2022-09-14 18:42:14.892
141353582,3,25,"35,322",4,3,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-15 22:39:52.281
1079262788,3,25,"34,558",4,3,1,0,Периодически пользуюсь,В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Публикации,2022-09-14 11:43:45.366
1228746440,3,25,"18,834",4,3,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете выгрузить отчетную информацию о ваших результатах и публикациях?,Результаты интеллектуальной деятельности,2022-09-13 09:37:04.495
120601161,1,26,"18,933",10,4,0,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные и культурно-творческие достижения,2022-09-14 23:04:34.102
198142650,1,26,"19,39",5,4,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные и культурно-творческие достижения,2022-09-14 09:52:23.127
783940296,1,26,"15,069",5,4,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные и культурно-творческие достижения,2022-09-13 12:04:31.578
825672756,1,26,"128,771",5,4,1,1,Пользовался буквально 1-2 раза,Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные и культурно-творческие достижения,2022-09-14 11:05:38.608
1989304989,1,26,"16,114",5,4,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные и культурно-творческие достижения,2022-09-14 16:45:30.919
28839841,2,26,"17,541",4,3,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные достижения,2022-09-15 07:39:56.280
28514090,3,26,"16,639",4,3,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные достижения,2022-09-14 21:27:03.437
194347766,3,26,"16,884",4,3,1,1,"Нет, никогда не было необходимости",Вы выиграли районный чемпионат по бадминтону. В каком разделе поделитесь этой информацией?,Спортивные достижения,2022-09-14 16:25:12.664
1932516997,2,27,"44,991",8,3,0,1,Пользовался буквально 1-2 раза,Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Стажировки и повышение квалификации,2022-09-15 00:26:51.413
28514090,3,27,"70,73",10,3,0,1,"Нет, никогда не было необходимости",Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Стажировки и повышение квалификации,2022-09-14 21:25:41.748
324394268,3,27,"41,825",4,3,1,0,"Нет, никогда не было необходимости",Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Командировки,2022-09-14 20:12:05.198
781822250,3,27,"87,059",20,3,0,1,Пользовался буквально 1-2 раза,Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Стажировки и повышение квалификации,2022-09-14 16:56:43.248
967175072,3,27,"46,352",15,2,0,0,"Нет, никогда не было необходимости",Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Фонды и конкурсы,2022-09-14 17:22:54.077
1712799800,3,27,"91,201",22,3,0,1,"Нет, никогда не было необходимости",Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Стажировки и повышение квалификации,2022-09-14 16:44:34.282
1999601489,3,27,"84,484",16,3,0,0,"Нет, никогда не было необходимости",Вам нужно оформить стажировку и затем внести информацию о ее результатах. Где бы вы это сделали?,Учебная документация,2022-09-15 01:22:19.926
693278016,1,28,"29,042",7,4,0,1,"Нет, никогда не было необходимости",Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-14 17:12:13.579
971657313,1,28,"47,908",5,4,1,1,Периодически пользуюсь,Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-14 20:32:47.786
1160253531,1,28,"34,325",5,4,1,1,Периодически пользуюсь,Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-14 12:24:15.272
1002011977,2,28,"42,588",6,3,0,1,Постоянно пользуюсь,Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-15 11:09:55.707
1539754528,2,28,"14,161",4,3,1,0,"Нет, никогда не было необходимости",Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Проекты,2022-09-15 12:26:43.427
128323136,3,28,"13,756",4,3,1,1,Постоянно пользуюсь,Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-14 18:39:32.421
207510611,3,28,"21,819",5,2,0,0,"Нет, никогда не было необходимости",Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Сообщения,2022-09-14 17:10:50.526
1290111557,3,28,"22,328",4,3,1,1,"Не пользовался, потому что не знал, что она есть",Вы приняли участие в конференции и хотите внести информацию об этом. Какой раздел вам нужен?,Участие в мероприятиях,2022-09-14 10:19:23.557
15889692,1,29,"9,848",3,2,1,0,"Нет, никогда не было необходимости",Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-13 09:57:30.431
20734323,1,29,"13,91",3,2,1,0,Пользовался буквально 1-2 раза,Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-15 11:59:55.079
1151916771,1,29,"12,974",5,2,0,0,"Нет, никогда не было необходимости",Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-14 17:02:56.693
1742934849,1,29,"17,424",4,3,1,1,Периодически пользуюсь,Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-14 12:34:19.029
1806091173,1,29,"43,216",4,3,1,1,"Нет, никогда не было необходимости",Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-14 20:24:44.918
1078570909,2,29,"13,97",4,3,1,0,Постоянно пользуюсь,Где бы вы искали и вносили информацию о ваших проектах?,Проекты,2022-09-14 17:00:03.787
1367966209,2,29,"11,737",4,3,1,0,"Нет, никогда не было необходимости",Где бы вы искали и вносили информацию о ваших проектах?,Отчёты,2022-09-14 17:04:15.648
1504432039,2,29,"33,202",4,3,1,1,"Не пользовался, потому что не знал, где её найти",Где бы вы искали и вносили информацию о ваших проектах?,Участие в проектах,2022-09-14 21:27:46.800
136737116,3,29,"32,87",8,3,0,1,Пользовался буквально 1-2 раза,Где бы вы искали и вносили информацию о ваших проектах?,Участие в проектах,2022-09-15 12:46:31.834
194347766,3,29,"19,206",4,3,1,1,"Нет, никогда не было необходимости",Где бы вы искали и вносили информацию о ваших проектах?,Участие в проектах,2022-09-14 16:25:33.118
839417511,1,30,"85,958",12,3,0,1,"Нет, никогда не было необходимости",Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Microsoft office 365,2022-09-14 16:36:03.434
1151916771,1,30,"45,901",6,3,0,1,Пользовался буквально 1-2 раза,Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Microsoft office 365,2022-09-14 17:02:42.501
1234629939,1,30,"7,208",8,3,0,1,Пользовался буквально 1-2 раза,Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Microsoft office 365,2022-09-15 10:39:09.416
956795524,2,30,"46,28",4,3,1,0,"Нет, никогда не было необходимости",Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Настройка личного кабинета,2022-09-15 08:47:51.607
596670368,3,30,"11,822",4,3,1,1,Пользовался буквально 1-2 раза,Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Microsoft Office 365,2022-09-14 15:54:32.545
1331664554,3,30,"28,913",4,3,1,0,"Нет, никогда не было необходимости",Вам нужно сбросить пароль от своей корпоративной учётной записи Microsoft Office 365. В каком разделе будете это делать?,Настройка личного кабинета,2022-09-14 16:42:36.091
346105239,1,31,"64,203",14,3,0,0,Пользовался буквально 1-2 раза,"Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Коммуникационные площадки,2022-09-15 13:40:52.267
825672756,1,31,"19,661",4,3,1,1,"Нет, никогда не было необходимости","Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",VPN,2022-09-14 11:05:59.207
881608206,1,31,"345,289",22,3,0,1,Пользовался буквально 1-2 раза,"Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",VPN,2022-09-14 19:04:27.615
1221178884,1,31,"172,02",5,2,0,0,"Нет, никогда не было необходимости","Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Научные направления и интересы,2022-09-14 12:43:25.644
1614893916,1,31,"21,179",4,3,1,1,"Нет, никогда не было необходимости","Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",VPN,2022-09-14 16:11:30.995
1999747662,1,31,"45,042",8,3,0,1,"Не пользовался, потому что не знал, где её найти","Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",VPN,2022-09-14 16:11:42.035
28839841,2,31,"30,748",4,3,1,1,Периодически пользуюсь,"Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Настройка VPN,2022-09-15 07:38:48.659
155690944,2,31,"71,282",4,3,1,1,"Нет, никогда не было необходимости","Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Настройка VPN,2022-09-14 16:34:13.261
1932516997,2,31,"23,824",4,3,1,1,Периодически пользуюсь,"Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Настройка VPN,2022-09-15 00:23:59.963
1228746440,3,31,"24,195",4,3,1,1,Пользовался буквально 1-2 раза,"Для чтения статьи на ресурсе, доступном только с IP-адреса ИТМО, вам нужно войти в Интернет из дома через VPN ИТМО. Как думаете, где находится эта функция?",Настройка VPN,2022-09-13 09:37:49.556
15889692,1,32,"7,574",4,3,1,1,Периодически пользуюсь,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Wi-Fi,2022-09-13 09:57:39.110
470360253,1,32,"8,349",4,3,1,1,Пользовался буквально 1-2 раза,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Wi-Fi,2022-09-15 17:50:46.569
506086014,1,32,"33,776",4,3,1,1,Периодически пользуюсь,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Wi-Fi,2022-09-15 18:22:28.133
1011326352,1,32,"12,216",4,3,1,1,Пользовался буквально 1-2 раза,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Wi-Fi,2022-09-14 16:25:25.552
99825016,2,32,"17,647",4,3,1,1,Периодически пользуюсь,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Настройка Wi-Fi,2022-09-14 16:00:31.249
1539754528,2,32,"13,898",4,3,1,1,"Нет, никогда не было необходимости",Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Настройка Wi-Fi,2022-09-15 12:26:58.627
160220225,3,32,"13,182",4,3,1,1,Периодически пользуюсь,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Настройка Wi-Fi,2022-09-14 17:05:32.926
274783955,3,32,"21,622",4,3,1,1,NULL,Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Настройка Wi-Fi,2022-09-15 09:37:10.198
565110659,3,32,"21,387",4,3,1,1,"Нет, никогда не было необходимости",Вам нужно подключить свой ноутбук к Wi-Fi в корпусе на Кронверкском. Какой раздел вам поможет?,Настройка Wi-Fi,2022-09-15 13:17:15.524
31057320,1,33,"21,887",6,3,0,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 18:48:57.339
930633306,1,33,"18,061",12,3,0,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-15 15:59:14.322
1120580949,1,33,"35,762",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 17:13:10.781
1314764682,1,33,"13,81",4,3,1,0,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Данные пользователя,2022-09-13 09:58:27.470
1989304989,1,33,"29,214",6,3,0,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 16:45:13.339
1082243389,2,33,"13,805",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 22:12:39.411
1488306643,2,33,"10,822",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 18:42:00.505
141353582,3,33,"96,474",6,3,0,0,"Не пользовался, потому что не знал, что она есть",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Данные для входа,2022-09-15 22:36:34.014
149216564,3,33,"14,942",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 18:22:46.530
207510611,3,33,"81,197",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-14 17:10:03.566
273358319,3,33,"10,764",4,3,1,1,"Не пользовался, потому что не знал, что она есть",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Яндекс 360,2022-09-15 18:37:03.892
275134790,3,33,"21,764",4,3,1,0,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей корпоративной учётной записи Яндекс 360?,Настройка личного кабинета,2022-09-15 12:15:25.138
446341758,1,34,"22,598",6,3,0,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-14 09:38:33.666
570270129,1,34,"20,507",4,3,1,1,Периодически пользуюсь,Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-15 18:27:07.314
1160253531,1,34,"23,835",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-14 12:25:16.391
228071347,2,34,"32,522",4,3,1,0,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Данные для входа,2022-09-14 17:03:50.001
267766381,2,34,"22,087",6,3,0,0,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Данные для входа,2022-09-14 09:40:56.457
303501949,2,34,"19,712",4,3,1,1,"Нет, никогда не было необходимости",Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-14 09:42:06.477
484597852,2,34,"11,812",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-15 14:28:28.306
1559042383,2,34,"24,479",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-14 16:38:39.459
352441004,3,34,"11,165",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете сбросить пароль от своей электронной почты на домене @itmo.ru?,Корпоративная почта,2022-09-14 10:29:18.887
31057320,1,35,"59,896",7,2,0,0,"Нет, никогда не было необходимости","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",Деловые регламенты,2022-09-14 18:48:34.369
319172790,1,35,"25,071",4,3,1,0,"Не пользовался, потому что не знал, что она есть","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",Данные пользователя,2022-09-14 16:15:51.926
783940296,1,35,"14,632",4,3,1,1,"Нет, никогда не было необходимости","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",ЭЦП,2022-09-13 12:04:47.478
1234629939,1,35,"9,142",8,3,0,1,Пользовался буквально 1-2 раза,"Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",ЭЦП,2022-09-15 10:39:19.591
99825016,2,35,"30,774",12,3,0,1,"Нет, никогда не было необходимости","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",Электронная цифровая подпись,2022-09-14 16:01:16.292
756266965,2,35,"63,733",10,3,0,1,"Нет, никогда не было необходимости","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",Электронная цифровая подпись,2022-09-15 13:03:06.590
1613399123,3,35,"36,343",10,3,0,1,"Нет, никогда не было необходимости","Вам нужно завести электронную цифровую подпись, чтобы с её помощью подписывать электронные документы в isu. В каком разделе это возможно сделать?",Электронная цифровая подпись,2022-09-14 20:46:21.891
120601161,1,36,"11,438",8,3,0,1,"Нет, никогда не было необходимости",Где вы можете поменять свой пароль от ИСУ?,Данные пользователя,2022-09-14 23:04:46.788
446341758,1,36,"22,879",4,3,1,1,Периодически пользуюсь,Где вы можете поменять свой пароль от ИСУ?,Данные пользователя,2022-09-14 09:38:09.598
846674421,1,36,"18,845",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные пользователя,2022-09-14 17:11:44.483
1534393635,1,36,"31,622",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные пользователя,2022-09-14 17:07:05.223
1002011977,2,36,"11,698",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные для входа,2022-09-15 11:11:02.343
1078570909,2,36,"21,815",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные для входа,2022-09-14 17:00:26.479
1367966209,2,36,"14,017",4,3,1,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные для входа,2022-09-14 17:04:02.979
1712799800,3,36,"19,822",6,3,0,1,Пользовался буквально 1-2 раза,Где вы можете поменять свой пароль от ИСУ?,Данные для входа,2022-09-14 16:44:55.121
881608206,1,37,"72,73",3,2,1,1,"Нет, никогда не было необходимости",Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Избранное (настроить),2022-09-14 19:05:41.659
1314764682,1,37,"24,426",3,2,1,0,"Нет, никогда не было необходимости",Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Навигатор,2022-09-13 09:58:12.612
1742934849,1,37,"30,904",14,3,0,1,Периодически пользуюсь,Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Настройка стартовой страницы,2022-09-14 12:35:30.993
1806091173,1,37,"32,013",7,2,0,1,"Нет, никогда не было необходимости",Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Избранное (настроить),2022-09-14 20:27:14.102
1297263133,2,37,"14,224",4,3,1,1,Пользовался буквально 1-2 раза,Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Настройка личного кабинета,2022-09-14 16:37:27.057
157434503,3,37,"41,587",4,3,1,1,"Нет, никогда не было необходимости",Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Настройка личного кабинета,2022-09-14 17:55:01.771
532295597,3,37,"102,951",16,3,0,1,Пользовался буквально 1-2 раза,Вам нужно добавить часто используемые сервисы в избранное. В каком разделе будете это делать?,Настройка личного кабинета,2022-09-13 12:37:16.773
